epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.931,1.05588,1.80685,1.51337,0.82227,0.71182,0.85528,0.521,0.89299,2.36227,1.47461,0.00058,0.00058,0.00058
2,645.614,1.11961,1.40879,1.52917,0.582,0.56923,0.65044,0.3826,1.30344,2.35813,2.01386,0.00112159,0.00112159,0.00112159
3,962.227,1.14742,1.27008,1.52518,0.59255,0.42518,0.47145,0.28601,1.54274,2.3428,2.08902,0.00160378,0.00160378,0.00160378
4,1272.31,1.14782,1.26438,1.56981,0.75154,0.60503,0.7441,0.42331,1.24622,2.6266,1.8633,0.001703,0.001703,0.001703
5,1568.09,1.14534,1.18134,1.5474,0.79701,0.72489,0.82101,0.5654,1.1115,1.44571,1.77759,0.001604,0.001604,0.001604
6,1891.2,1.15259,1.06214,1.53496,0.59314,0.41538,0.39928,0.2026,1.53634,2.07003,1.90994,0.001505,0.001505,0.001505
7,2208.49,1.07915,1.00501,1.48955,0.93111,0.84615,0.93269,0.6675,0.92796,1.28223,1.42177,0.001406,0.001406,0.001406
8,2523.92,1.10991,0.98225,1.51649,0.91069,0.94128,0.97968,0.72667,0.88214,0.84807,1.41161,0.001307,0.001307,0.001307
9,2837.55,0.98987,0.90364,1.41044,0.94466,0.93846,0.97365,0.71937,0.85173,0.80663,1.41932,0.001208,0.001208,0.001208
10,3175.61,1.01115,0.97897,1.45266,0.88673,1,0.93685,0.68332,0.98785,0.77054,1.51822,0.001109,0.001109,0.001109
11,3511.83,0.98752,0.92539,1.58995,0.89822,0.9504,0.94791,0.68373,0.90478,0.77209,1.3723,0.00101,0.00101,0.00101
12,3835.45,0.89933,0.76442,1.49917,0.92369,0.93846,0.96653,0.71694,0.86779,0.75914,1.39995,0.000911,0.000911,0.000911
13,4172.27,0.84097,0.72451,1.44227,0.85999,0.94504,0.92862,0.68613,0.95098,0.76926,1.43664,0.000812,0.000812,0.000812
14,4502.5,0.80306,0.67289,1.38794,0.93616,0.95385,0.97598,0.73608,0.82256,0.59741,1.29264,0.000713,0.000713,0.000713
15,4846.19,0.78689,0.64883,1.39388,0.88704,0.98462,0.98196,0.76262,0.73981,0.53689,1.19711,0.000614,0.000614,0.000614
16,5158.23,0.79003,0.60472,1.39279,0.96397,0.96923,0.99098,0.78934,0.7209,0.56463,1.21711,0.000515,0.000515,0.000515
17,5489.4,0.77126,0.60962,1.37302,0.96418,0.98462,0.99291,0.78016,0.74874,0.55295,1.25042,0.000416,0.000416,0.000416
18,5861.57,0.69093,0.55701,1.31978,0.92767,0.98655,0.99054,0.79512,0.70482,0.47748,1.18721,0.000317,0.000317,0.000317
19,6206.24,0.69942,0.53523,1.30001,0.94064,0.97525,0.9907,0.78679,0.7121,0.48001,1.20037,0.000218,0.000218,0.000218
20,6507.31,0.69306,0.51376,1.30715,0.94707,0.96923,0.98746,0.76851,0.70559,0.47958,1.19433,0.000119,0.000119,0.000119
